den;hodina;systemova_odchylka_mwh;Součet abs. hodnot odchylek (MWh);Kladné odchylky (MWh);Záporné odchylky (MWh);Zaokrouhlení odchylek (MWh);Náklady na RE (Kč);Náklady na odchylky (Kč);"Zúčtovací cena odchylky
(Kč/MWh)";Zúčtovací cena protiodchylky (Kč/MWh);Cena dle ochranné komponenty RE (Kč/MWh);Cena dle komponenty RE (Kč/MWh);"Cena dle komponenty VDT 
(Kč/MWh)";"Cena dle komponenty SO 
(Kč/MWh)";"Cena neuskutečněné aktivace 
(Kč/MWh)"
01.01.2023;1;-94,379;486,331;195,976;-290,355;-0,048;22960413,5;-2308839,56;17285,08;13828,07;88410,33;16766;285,47;17285,08;2194,5
01.01.2023;2;-96,918;393,182;148,132;-245,05;-0,08;686582,42;-1923240,5;12117,1;7061,64;7070,54;12117,1;237,75;10061,84;2194,5
01.01.2023;3;-43,273;369,043;162,885;-206,158;-0,088;140943,63;-522806,31;4291,8;2222,32;2439,51;4291,8;252,15;3479,3;2194,5
01.01.2023;4;1,739;408,069;204,904;-203,165;-0,098;85862,78;-50067,74;-1527,98;-1294,62;-1702,67;-1521,9;-263,93;-1527,98;2158,3
01.01.2023;5;28,983;472,479;250,731;-221,748;-0,088;63302,97;-140923,44;-1422,94;-973,41;-1113,36;-1321,5;-266,13;-1422,94;2194,5
01.01.2023;6;41,137;481,903;261,52;-220,383;-0,081;6885,99;-113812,97;-596,87;-191,85;-188;-503,3;-260,08;-596,87;2194,5
01.01.2023;7;-17,357;560,645;271,644;-289,001;-0,055;-15916,84;-272087,01;202,06;-786,66;-794,48;-748,1;202,06;-652,63;2194,5
01.01.2023;8;-15,581;597,891;291,155;-306,736;-0,092;4412,23;-222509,54;234,9;-516,76;-476,12;-420,1;234,9;-334,4;2194,5
01.01.2023;9;17,37;646,134;331,752;-314,382;-0,059;76272,29;-602515,7;-6046,89;-4464,48;-4460,63;-5986,1;-269,89;-6046,89;2194,5
01.01.2023;10;139,282;661,244;400,263;-260,981;-0,075;372756,99;-805197,33;-3802,78;-2747;-2722,38;-3315,3;-189,09;-3802,78;2194,5
01.01.2023;11;205,114;670,094;437,604;-232,49;-0,057;424026,08;-1026950,96;-3466,09;-2106,86;-2088,3;-2784,3;-241,24;-3466,09;2194,5
01.01.2023;12;160,507;722,709;441,608;-281,101;-0,058;271780,26;-1192806,21;-3617,3;-1439,42;-1531,68;-3617,3;-266,85;-2526,87;2194,5
01.01.2023;13;99,779;617,417;358,598;-258,819;-0,05;174776,5;-451046,42;-2471,1;-1681,04;-1700,68;-2471,1;-488,81;-1837,12;2194,5
01.01.2023;14;62,988;587,714;325,351;-262,363;-0,041;139040,96;-398953,71;-2428,6;-1491,04;-1629,73;-2428,6;-390,11;-990,95;2194,5
01.01.2023;15;35,629;570,781;303,205;-267,576;-0,084;171189,25;-259777,52;-2341,3;-1682,2;-2049,12;-2341,3;-380,12;333,99;2194,5
01.01.2023;16;-14,953;549,091;267,069;-282,022;-0,063;260067,53;-597496,16;6306,3;4422,15;5109,83;6306,3;791,08;4736,64;2194,5
01.01.2023;17;-72,777;587,833;257,528;-330,305;-0,06;830741,96;-2029606,91;11286,8;6595,32;7657,23;11286,8;1441,35;10853,67;2194,5
01.01.2023;18;-16,157;710,443;347,143;-363,3;-0,096;490561,03;-829022,34;12867,5;11078,26;11935,86;12867,5;1828,88;11817,16;2194,5
01.01.2023;19;8,984;645,286;327,135;-318,151;-0,052;5844093,98;-5844090,76;-95616,4;-79947,51;-95616,4;-171329,4;1757,03;-171360,84;2194,5
01.01.2023;20;25,606;683,402;354,504;-328,898;-0,073;323279,91;-293704,67;-2679,2;-1994,79;-2762,62;-2679,2;2097,94;-2463,52;2147,4
01.01.2023;21;-5,988;587,678;290,845;-296,833;-0,057;250129,93;-642583,94;4951,8;2844,38;3629,66;4951,8;2447,42;3723,23;2194,5
01.01.2023;22;-35,098;540,002;252,452;-287,55;-0,067;97993,46;-600870,51;3112,8;1165,43;1363,96;3112,8;1922,59;2030,33;2194,5
01.01.2023;23;23,95;625,754;324,852;-300,902;-0,08;-50954,29;-1231282,05;-339,1;3725,88;3608,04;-339,1;1241,83;3428,27;2194,5
01.01.2023;24;-5,149;618,681;306,766;-311,915;-0,071;3271506,2;-680917,42;6072,4;3954,66;14377,83;6072,4;1624,89;5420,71;2194,5
02.01.2023;1;156,505;735,745;446,125;-289,62;-0,097;348638,53;-1184113,78;-3941,96;-1983,61;-2069,22;-3431,9;1169,14;-3941,96;2199,9
02.01.2023;2;211,201;728,919;470,06;-258,859;-0,07;412005,06;-1407706,13;-4067,4;-1947,84;-1949,15;-3328,2;1131,79;-4067,4;2199,9
02.01.2023;3;231,701;813,833;522,767;-291,066;-0,084;526703,79;-1554709,13;-4217,25;-2232,93;-2250,78;-3406,3;895,1;-4217,25;2199,9
02.01.2023;4;234,059;887,783;560,921;-326,862;-0,099;769436,08;-4169049,26;-9312,1;-3225,53;-3251,33;-8492,9;960,38;-9312,1;2199,9
02.01.2023;5;103,256;906,91;505,083;-401,827;-0,098;194809,37;-872087,22;-3102,1;-1728,93;-1761,17;-3102,1;841,95;-2378,59;2199,9
02.01.2023;6;190,784;907,022;548,903;-358,119;-0,086;4286479,29;-4286478,89;-22041,25;-21814,06;-22041,25;-51529,7;969,17;-46721,14;2152,8
02.01.2023;7;88,635;1101,243;594,939;-506,304;-0,06;2714161,62;-2714157,29;-19993,89;-18133,35;-19993,89;-29780,9;1689,81;-30091,12;2163,7
02.01.2023;8;10,536;1291,284;650,91;-640,374;-0,06;38031,78;-1811241,46;-4229,77;-1470,95;-1505,56;-4192,9;2431,56;-4229,77;2152,8
02.01.2023;9;-60,349;1173,319;556,485;-616,834;-0,088;153940;-1039319,21;3373,36;1871,54;1937,99;3144,2;3373,36;2971,31;2152,8
02.01.2023;10;85,778;1106,156;595,967;-510,189;-0,079;-215860,87;-1483696,69;-408,8;2430,6;2442,96;-408,8;2910,79;-100,32;2163,7
02.01.2023;11;91,293;1008,557;549,925;-458,632;-0,052;-231300,15;-1277872,58;0;2786,27;2744,32;0;2785,67;1713,07;2163,7
02.01.2023;12;53,397;1005,373;529,385;-475,988;-0,059;1146,34;-322226,78;-533,28;83,86;73,23;-346,4;2817,35;-533,28;2163,7
02.01.2023;13;-93,361;1006,361;456,5;-549,861;-0,058;206066,19;-2427238,1;6239,6;2198,63;2200,08;6239,6;3373,88;3764,78;2163,7
02.01.2023;14;-116,195;968,939;426,372;-542,567;-0,093;292642,96;-950689,44;3652,97;2418,76;2440,13;3013,9;3468,25;3652,97;2163,7
02.01.2023;15;62,816;842,096;452,456;-389,64;-0,063;-23187,04;-349960,24;-252,6;604,84;572,11;-252,6;2996,41;-166,45;2163,7
02.01.2023;16;40,55;908,056;474,303;-433,753;-0,079;-189209,45;-1984203,09;0;4574,5;4582,32;0;3273,29;1442,07;2163,7
02.01.2023;17;-35,912;683,054;323,571;-359,483;-0,058;173497,09;-1147099,19;5622,61;2701,52;2914,27;5425,1;3657,69;5622,61;2199,9
02.01.2023;18;2,795;716,095;359,445;-356,65;-0,047;61580,72;-180727,57;-1327,9;-831,57;-996,42;-1327,9;2895,52;-987,38;2272,5
02.01.2023;19;-38,512;648,518;305,003;-343,515;-0,057;41079,82;-990587,68;3517,66;714,03;753,56;2226,8;3517,66;1687,01;2332,9
02.01.2023;20;-102,849;663,957;280,554;-383,403;-0,088;137191,76;-1285818,66;4296,6;1288,56;1300,72;4296,6;3529,37;2175,26;2212
02.01.2023;21;-123,856;654,462;265,303;-389,159;-0,068;518129,7;-1476802,96;6236,1;3580,93;3772,65;6185,7;3781,3;6236,1;2272,5
02.01.2023;22;-76,345;720,335;321,995;-398,34;-0,05;1026765,69;-3702001,79;16923,7;9439,23;10207,73;16923,7;3589,02;11153,09;2272,5
02.01.2023;23;-106,982;672,784;282,901;-389,883;-0,053;325521,74;-782173,15;4040,4;2803,49;2869,14;3795,5;3055,72;4040,4;2272,5
02.01.2023;24;-43,845;599,867;278,011;-321,856;-0,064;56185,52;-735215,6;3135,42;985,35;1025,68;2873,2;3135,42;1663,14;2272,5
03.01.2023;1;35,008;451,776;243,392;-208,384;-0,084;-13160,14;-114863,34;0;551,21;525,99;0;2307,39;230,67;2243,6
03.01.2023;2;122,647;535,603;329,125;-206,478;-0,082;-7208,66;-115154,67;-144,36;327,6;227,42;-42,2;2313,25;-144,36;2243,6
03.01.2023;3;61,788;537,116;299,452;-237,664;-0,065;-20104,96;-287418,08;-291,7;841,81;735,25;-291,7;2304,81;46,44;2303,9
03.01.2023;4;50,559;545,491;298,025;-247,466;-0,062;-112748,76;-583359,02;0;2357,33;2335,73;0;2187,87;818,24;2303,9
03.01.2023;5;-6,795;503,381;248,293;-255,088;-0,065;15882,35;-648760,6;4708;2223,96;2226,98;4708;2809,83;2743,97;2303,9
03.01.2023;6;-118,866;612,93;247,032;-365,898;-0,085;1288905,62;-3334753,86;15352,7;9240,78;9761,39;15352,7;3142,15;15320,56;2303,9
03.01.2023;7;-357,668;782,392;212,362;-570,03;-0,079;7318108,26;-7318104,45;20362,83;20198,15;20362,83;40834,9;3867,2;42802,07;2303,9
03.01.2023;8;-184,12;829,412;322,646;-506,766;-0,071;521137,67;-1445317,56;4638,39;2805,74;2814,7;24464;4638,39;4577,36;2303,9
03.01.2023;9;-53,722;895,072;420,675;-474,397;-0,049;140888,05;-1258355,74;4526,22;2112,96;2170,66;3417,6;4526,22;2952,57;2376,3
03.01.2023;10;-106,333;863,681;378,674;-485,007;-0,069;273628,95;-1407419,63;4894,33;2551,97;2556,65;4309,5;4500,45;4894,33;2340,1
03.01.2023;11;-215,662;844,684;314,511;-530,173;-0,054;1097048,63;-2629056,49;7494,64;4274,57;4605;6308,5;4489,41;7494,64;2316
