id,delivery_start,value
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 00:00:00+01:00,"-94,346"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 01:00:00+01:00,"-96,922"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 02:00:00+01:00,"-43,255"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 03:00:00+01:00,"1,716"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 04:00:00+01:00,"28,997"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 05:00:00+01:00,"41,136"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 06:00:00+01:00,"-17,336"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 07:00:00+01:00,"-15,589"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 08:00:00+01:00,"17,369"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 09:00:00+01:00,"139,284"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 10:00:00+01:00,"203,356"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 11:00:00+01:00,"160,506"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 12:00:00+01:00,"99,813"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 13:00:00+01:00,"62,996"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 14:00:00+01:00,"35,594"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 15:00:00+01:00,"-14,938"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 16:00:00+01:00,"-72,731"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 17:00:00+01:00,"-16,2"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 18:00:00+01:00,"8,997"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 19:00:00+01:00,"25,61"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 20:00:00+01:00,"-5,989"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 21:00:00+01:00,"-35,096"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 22:00:00+01:00,"23,936"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-01 23:00:00+01:00,"-5,133"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 00:00:00+01:00,"156,501"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 01:00:00+01:00,"211,186"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 02:00:00+01:00,"231,703"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 03:00:00+01:00,"234,051"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 04:00:00+01:00,"103,239"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 05:00:00+01:00,"190,775"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 06:00:00+01:00,"88,645"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 07:00:00+01:00,"10,545"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 08:00:00+01:00,"-60,352"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 09:00:00+01:00,"85,77"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 10:00:00+01:00,"91,305"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 11:00:00+01:00,"53,407"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 12:00:00+01:00,"-93,331"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 13:00:00+01:00,"-116,219"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 14:00:00+01:00,"62,832"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 15:00:00+01:00,"40,554"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 16:00:00+01:00,"-35,888"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 17:00:00+01:00,"2,82"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 18:00:00+01:00,"-38,498"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 19:00:00+01:00,"-102,857"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 20:00:00+01:00,"-123,841"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 21:00:00+01:00,"-76,828"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 22:00:00+01:00,"-106,949"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-02 23:00:00+01:00,"-43,829"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 00:00:00+01:00,"35,022"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 01:00:00+01:00,"122,678"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 02:00:00+01:00,"61,808"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 03:00:00+01:00,"50,583"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 04:00:00+01:00,"-6,746"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 05:00:00+01:00,"-118,878"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 06:00:00+01:00,"-357,932"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 07:00:00+01:00,"-184,116"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 08:00:00+01:00,"-53,7"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 09:00:00+01:00,"-106,327"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 10:00:00+01:00,"-216,139"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 11:00:00+01:00,"-88,135"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 12:00:00+01:00,"25,405"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 13:00:00+01:00,"-54,465"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 14:00:00+01:00,"-323,476"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 15:00:00+01:00,"-90,261"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 16:00:00+01:00,"-23,622"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 17:00:00+01:00,"59,618"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 18:00:00+01:00,"-13,788"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 19:00:00+01:00,"36,467"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 20:00:00+01:00,"-54,256"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 21:00:00+01:00,"11,94"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 22:00:00+01:00,"52,847"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-03 23:00:00+01:00,"47,732"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 00:00:00+01:00,"-23,816"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 01:00:00+01:00,"20,63"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 02:00:00+01:00,"55,441"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 03:00:00+01:00,"48,452"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 04:00:00+01:00,"0,808"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 05:00:00+01:00,"-76,374"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 06:00:00+01:00,"-217,005"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 07:00:00+01:00,"-177,147"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 08:00:00+01:00,"-29,66"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 09:00:00+01:00,"0,124"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 10:00:00+01:00,"99,968"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 11:00:00+01:00,"-139,085"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 12:00:00+01:00,"-239,681"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 13:00:00+01:00,"-117,5"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 14:00:00+01:00,"-117,824"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 15:00:00+01:00,"-36,732"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 16:00:00+01:00,"19,141"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 17:00:00+01:00,"120,896"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 18:00:00+01:00,"51,366"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 19:00:00+01:00,"-114,107"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 20:00:00+01:00,"-11,3"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 21:00:00+01:00,"94,354"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 22:00:00+01:00,"43,578"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-04 23:00:00+01:00,"111,149"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 00:00:00+01:00,"88,877"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 01:00:00+01:00,"89,205"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 02:00:00+01:00,"102,562"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 03:00:00+01:00,"128,153"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 04:00:00+01:00,"144,879"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 05:00:00+01:00,"114,941"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 06:00:00+01:00,"58,484"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 07:00:00+01:00,"19,767"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 08:00:00+01:00,"19,763"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 09:00:00+01:00,"12,842"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 10:00:00+01:00,"139,742"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 11:00:00+01:00,"109,585"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 12:00:00+01:00,"23,618"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 13:00:00+01:00,"45,425"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 14:00:00+01:00,"59,316"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 15:00:00+01:00,"50,502"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 16:00:00+01:00,"78,801"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 17:00:00+01:00,"51,076"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 18:00:00+01:00,"45,24"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 19:00:00+01:00,"7,136"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 20:00:00+01:00,"-2,21"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 21:00:00+01:00,"94,354"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 22:00:00+01:00,"95,146"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-05 23:00:00+01:00,"67,59"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 00:00:00+01:00,"-82,088"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 01:00:00+01:00,"-112,831"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 02:00:00+01:00,"-6,801"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 03:00:00+01:00,"63,776"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 04:00:00+01:00,"45,74"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 05:00:00+01:00,"-69,023"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 06:00:00+01:00,"-28,861"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 07:00:00+01:00,"-17,615"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 08:00:00+01:00,"25,755"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 09:00:00+01:00,"37,359"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 10:00:00+01:00,"42,627"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 11:00:00+01:00,"-76,473"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 12:00:00+01:00,"-163,753"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 13:00:00+01:00,"-45,689"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 14:00:00+01:00,"23,036"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 15:00:00+01:00,"-83,61"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 16:00:00+01:00,"8,771"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 17:00:00+01:00,"93,349"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 18:00:00+01:00,"74,416"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 19:00:00+01:00,"0,901"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 20:00:00+01:00,"5,257"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 21:00:00+01:00,"78,131"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 22:00:00+01:00,"24,836"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-06 23:00:00+01:00,"7,325"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 00:00:00+01:00,"13,763"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 01:00:00+01:00,"20,606"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 02:00:00+01:00,"39,06"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 03:00:00+01:00,"-8,609"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 04:00:00+01:00,"-24,163"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 05:00:00+01:00,"57,95"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 06:00:00+01:00,"71,142"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 07:00:00+01:00,"16,31"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 08:00:00+01:00,"-114,293"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 09:00:00+01:00,"105,768"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 10:00:00+01:00,"37,787"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 11:00:00+01:00,"-75,375"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 12:00:00+01:00,"-58,834"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 13:00:00+01:00,"14,372"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 14:00:00+01:00,"112,225"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 15:00:00+01:00,"93,407"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 16:00:00+01:00,"73,668"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 17:00:00+01:00,"-63,73"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 18:00:00+01:00,"-34,457"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 19:00:00+01:00,"-55,925"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 20:00:00+01:00,"-82,615"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 21:00:00+01:00,"-29,903"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 22:00:00+01:00,"-29,49"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-07 23:00:00+01:00,"19,554"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 00:00:00+01:00,"39,458"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 01:00:00+01:00,"39,61"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 02:00:00+01:00,"47,446"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 03:00:00+01:00,"47,577"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 04:00:00+01:00,"-1,947"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 05:00:00+01:00,"63,315"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 06:00:00+01:00,"64,154"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 07:00:00+01:00,"95,886"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 08:00:00+01:00,"131,838"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 09:00:00+01:00,"30,34"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 10:00:00+01:00,"-98,926"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 11:00:00+01:00,"-216,026"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 12:00:00+01:00,"-36,628"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 13:00:00+01:00,"-31,619"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 14:00:00+01:00,"11,452"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 15:00:00+01:00,"49,547"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 16:00:00+01:00,"33,222"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 17:00:00+01:00,"41,709"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 18:00:00+01:00,"62,653"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 19:00:00+01:00,"-30,351"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 20:00:00+01:00,"-3,53"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 21:00:00+01:00,"-37,564"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 22:00:00+01:00,"-84,876"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-08 23:00:00+01:00,"-19,848"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 00:00:00+01:00,"39,209"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 01:00:00+01:00,"61,023"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 02:00:00+01:00,"105,508"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 03:00:00+01:00,"36,743"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 04:00:00+01:00,"93,811"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 05:00:00+01:00,"71,321"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 06:00:00+01:00,"-116,872"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 07:00:00+01:00,"-119,861"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 08:00:00+01:00,"-127,264"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 09:00:00+01:00,"-60,931"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 10:00:00+01:00,"-118,242"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 11:00:00+01:00,"-108,184"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 12:00:00+01:00,"-70,87"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 13:00:00+01:00,"-59,834"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 14:00:00+01:00,"-17,178"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 15:00:00+01:00,"100,252"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 16:00:00+01:00,"40,248"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 17:00:00+01:00,"32,774"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 18:00:00+01:00,"59,898"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 19:00:00+01:00,"-19,564"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 20:00:00+01:00,"-79,158"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 21:00:00+01:00,"-36,475"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 22:00:00+01:00,"45,243"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-09 23:00:00+01:00,"100,32"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 00:00:00+01:00,"-26,94"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 01:00:00+01:00,"-13,116"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 02:00:00+01:00,"39,037"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 03:00:00+01:00,"51,631"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 04:00:00+01:00,"1,904"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 05:00:00+01:00,"-20,885"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 06:00:00+01:00,"-201,142"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 07:00:00+01:00,"-233,895"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 08:00:00+01:00,"-72,975"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 09:00:00+01:00,"-77,746"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 10:00:00+01:00,"9,136"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 11:00:00+01:00,"-38,637"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 12:00:00+01:00,"-62,27"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 13:00:00+01:00,"-34,267"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 14:00:00+01:00,"-8,381"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 15:00:00+01:00,"-45,309"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 16:00:00+01:00,"-61,306"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 17:00:00+01:00,"-43,143"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 18:00:00+01:00,"-59,12"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 19:00:00+01:00,"7,484"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 20:00:00+01:00,"-25,127"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 21:00:00+01:00,"-72,049"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 22:00:00+01:00,"-25,937"
dc405ded0551d79cb13664f0dbd7f81c,2023-01-10 23:00:00+01:00,"8,299"
